player_name,PTS,+/-,TRB,trueShooting,assistToTurnover,stocks,games,minutesPlayed,usage
Richard Hamilton,18279,2016,3358,0.5161237606242234,1.5770770975056676,0.9438095238095238,1050,32.97573015873011,0.5686644424660648
Laron Profit,432,-113,204,0.41511755658080396,0.543154761904762,0.8303571428571429,112,13.247023809523805,0.38640316258637913
John Salley,87,-30,81,0.3906882080346957,0.20930232558139536,0.627906976744186,43,8.094961240310079,0.28202124900254555
Quincy Lewis,603,-71,227,0.405773618258989,0.2881720430107527,0.6903225806451613,155,12.791290322580638,0.38199066827287464
Obinna Ekezie,494,-142,374,0.47142558261838324,0.06956521739130433,0.5565217391304348,115,12.787971014492756,0.40968866023373546
Lamar Odom,14188,1728,9014,0.5272324588560581,1.566443939596419,1.7998129092609916,1069,33.41067976301841,0.4365821151293487
Steve Francis,10542,23,3257,0.5277146549976378,2.1312740758954183,1.8537005163511187,581,37.61815834767643,0.5417100614560344
Shawn Marion,19219,2106,11039,0.5316354472543301,0.9761810875769872,2.559148264984227,1268,34.64256046267091,0.4421097961668788
James Posey,7930,0,4376,0.520409398638657,0.7584284685796564,1.4017278617710582,926,26.91848452123832,0.3280724274560763
Ryan Bowen,1328,-91,1068,0.40834271793955557,0.19210914454277286,1.0353982300884956,452,14.477839233038345,0.22390578595342148
Vonteego Cummings,1368,-756,367,0.4428523618204988,1.4957865168539326,1.151685393258427,178,21.129494382022482,0.4598379828133144
Corey Maggette,13375,-1505,4109,0.5599090441810218,0.9602756892230581,0.8863636363636364,836,28.29419856459328,0.5717746053374911
Chucky Atkins,7167,-243,1248,0.481018390786044,1.6722375690607731,0.7320441988950276,724,25.052877532228354,0.4329044728976269
John Amaechi,1767,-340,721,0.3940966253762149,0.4464422550629447,0.6551724137931034,261,17.175159642401013,0.48351612219152784
Baron Davis,14389,970,3396,0.4965683747123818,3.108227513227512,2.2915254237288134,885,34.41207156308853,0.5408769324931297
Jason Miskiri,0,-11,0,0,0,0,1,3.2,0.3125
Eddie Robinson,2017,-124,799,0.5122702514648629,0.4357060185185185,1.0972222222222223,288,19.35271990740741,0.38154877423512806
Anthony Carter,3179,-243,1395,0.4103360236237054,2.0681807858278445,1.1955484896661368,629,20.419104398516154,0.345782947132539
Rodney Buford,1500,-617,612,0.43098944561191777,0.3408408408408409,0.6801801801801802,222,19.16006006006004,0.4240374168059342
Devean George,3943,664,2193,0.4633210320530945,0.39914215686274507,1.1,680,19.28019607843137,0.3597726604132441
Elton Brand,17330,-1093,9292,0.52251446557671,0.9349314969296721,2.605839416058394,1096,32.897323600973245,0.4766110092587672
Metta World Peace,14232,1940,4853,0.4916417481938185,1.2793684518188764,2.2936732766761097,1059,32.62425243940826,0.45705122737479
Michael Ruffin,741,-660,1688,0.32409313749249513,0.29276422764227644,0.9780487804878049,410,15.04817073170731,0.18293960147196556
Trajan Langdon,635,46,157,0.5062708581860067,0.6631746031746032,0.6476190476190476,105,16.31507936507937,0.38804396132257624
Jeff Foster,3927,727,5527,0.49577076718640734,0.4197679324894513,1.09873417721519,790,21.007573839662424,0.26205233407596357
Rick Hughes,79,26,46,0.48568849281432486,0.28125,0.25,16,13.63125,0.46267587430078033
Thomas Hamilton,81,-32,88,0.39452649503150033,0.36666666666666664,0.9,20,13.500833333333333,0.4576969136375141
Scott Padgett,1921,346,1261,0.4433795929118355,0.38854679802955666,0.687192118226601,406,14.2774630541872,0.36994930395562065
Wally Szczerbiak,9747,1033,2768,0.5547452887470861,1.117772591991342,0.828125,704,30.550994318181793,0.44502727309046164
Jumaine Jones,3435,-876,2065,0.4666035576873681,0.43358315488936483,1.0107066381156318,467,21.842398286937907,0.3659416146972803
Dedric Willoughby,190,-41,51,0.41956833086399675,1.606666666666667,1,25,20.284,0.4561370619872596
Dion Glover,2398,-542,895,0.43591453662801694,0.8644876325088341,1.0530035335689045,283,21.594581861012955,0.46625086985846237
Jermaine Jackson,259,-320,135,0.4038004105891233,0.6936363636363636,0.45454545454545453,110,11.914848484848479,0.2651570662282359
Chris Herren,224,-51,73,0.35750006160852554,1.034313725490196,0.45588235294117646,68,14.710294117647058,0.2979497085313026
Milt Palacio,2238,-898,829,0.43076328633887934,1.3740202275600506,0.7898230088495575,452,18.551769911504422,0.3535588642461609
John Celestand,37,-17,11,0.392576112412178,0.7,0.4666666666666667,15,12.212222222222222,0.34886433986958293
Kenny Thomas,6098,-570,4519,0.4832760211222863,0.7445572974166482,1.276661514683153,647,27.799639361154036,0.3771006696931456
Tim Young,42,6,33,0.47090232238329266,0,0.11764705882352941,17,7.303921568627452,0.5107034242705806
Lari Ketner,30,-65,30,0.33477263856362216,0,0.3888888888888889,18,7.074999999999999,0.35425202382250753
Mirsad Türkcan,35,-52,34,0.399077191750844,0.15384615384615385,0.3076923076923077,13,7.003846153846154,0.6272015191775435
William Avery,373,-132,89,0.4104083081403331,0.8532110091743119,0.3669724770642202,109,10.69785932721712,0.45742860123113416
